15.2795 	EXP 	window1: blendMode = 'avg'
15.2961 	EXP 	window1: blendMode = 'avg'
15.3138 	EXP 	window1: blendMode = 'avg'
15.3311 	EXP 	window1: blendMode = 'avg'
15.3461 	EXP 	window1: blendMode = 'avg'
15.3627 	EXP 	window1: blendMode = 'avg'
15.3794 	EXP 	window1: blendMode = 'avg'
15.3963 	EXP 	window1: blendMode = 'avg'
15.4129 	EXP 	window1: blendMode = 'avg'
15.4148 	DATA 	Keypress: left
15.4307 	EXP 	New trial (rep=0, index=8): {'color': u'blue', 'word': u'red'}
15.4446 	EXP 	text: autoDraw = False
15.4446 	EXP 	text: color = u'blue (named)'
15.4446 	EXP 	text: text = u'red'
15.9350 	EXP 	window1: blendMode = 'avg'
15.9503 	EXP 	text: autoDraw = True
15.9516 	EXP 	window1: blendMode = 'avg'
15.9684 	EXP 	window1: blendMode = 'avg'
15.9861 	EXP 	window1: blendMode = 'avg'
16.0037 	EXP 	window1: blendMode = 'avg'
16.0297 	EXP 	window1: blendMode = 'avg'
16.0461 	EXP 	window1: blendMode = 'avg'
16.0638 	EXP 	window1: blendMode = 'avg'
16.0798 	EXP 	window1: blendMode = 'avg'
16.0970 	EXP 	window1: blendMode = 'avg'
16.1126 	EXP 	window1: blendMode = 'avg'
16.1292 	EXP 	window1: blendMode = 'avg'
16.1458 	EXP 	window1: blendMode = 'avg'
16.1629 	EXP 	window1: blendMode = 'avg'
16.1795 	EXP 	window1: blendMode = 'avg'
16.1963 	EXP 	window1: blendMode = 'avg'
16.2129 	EXP 	window1: blendMode = 'avg'
16.2301 	EXP 	window1: blendMode = 'avg'
16.2468 	EXP 	window1: blendMode = 'avg'
16.2637 	EXP 	window1: blendMode = 'avg'
16.2814 	EXP 	window1: blendMode = 'avg'
16.2972 	EXP 	window1: blendMode = 'avg'
16.3137 	DATA 	Keypress: left
16.3150 	EXP 	New trial (rep=0, index=9): {'color': u'white', 'word': u'BreakTime'}
16.3439 	EXP 	text: autoDraw = False
16.3439 	EXP 	text: color = u'white (named)'
16.3439 	EXP 	text: text = u'BreakTime'
16.8301 	EXP 	window1: blendMode = 'avg'
16.8446 	EXP 	text: autoDraw = True
16.8462 	EXP 	window1: blendMode = 'avg'
16.8631 	EXP 	window1: blendMode = 'avg'
16.8811 	EXP 	window1: blendMode = 'avg'
16.8969 	EXP 	window1: blendMode = 'avg'
16.9126 	EXP 	window1: blendMode = 'avg'
16.9295 	EXP 	window1: blendMode = 'avg'
16.9459 	EXP 	window1: blendMode = 'avg'
16.9627 	EXP 	window1: blendMode = 'avg'
16.9793 	EXP 	window1: blendMode = 'avg'
16.9961 	EXP 	window1: blendMode = 'avg'
17.0128 	EXP 	window1: blendMode = 'avg'
17.0297 	EXP 	window1: blendMode = 'avg'
17.0463 	EXP 	window1: blendMode = 'avg'
17.0629 	EXP 	window1: blendMode = 'avg'
17.0798 	EXP 	window1: blendMode = 'avg'
17.0966 	EXP 	window1: blendMode = 'avg'
17.1126 	EXP 	window1: blendMode = 'avg'
